time_1;time_2;time_3;time_4;time_5;time_6;time_7;time_8;time_9;conf_1;conf_2;conf_3;conf_4;conf_5;conf_6;conf_7;conf_8;conf_9;conf_10;conf_11;conf_12;conf_13;conf_14;conf_15;conf_16;conf_17;conf_18;conf_19;conf_20;conf_21;conf_22;conf_23;conf_24;conf_25;conf_26;conf_27;conf_28;conf_29;conf_30;answ_1;answ_2;answ_3;answ_4;answ_5;answ_6;answ_7;answ_8;answ_9;answ_10;answ_11;answ_12;answ_13;answ_14;answ_15;answ_16;answ_17;answ_18;answ_19;answ_20;answ_21;answ_22;answ_23;answ_24;answ_25;answ_26;answ_27;answ_28;answ_29;answ_30;answ_time
12;15;14;18;18;17;7;12;19;2;3;2;3;1;1;3;3;2;3;1;3;2;1;1;2;2;3;2;3;1;1;2;3;3;3;3;2;2;1;2;1;1;3;1;1;3;1;3;3;3;3;3;3;2;2;3;2;2;3;1;2;2;1;2;2;3;1;2;3;173
15;17;12;14;10;17;5;11;17;2;3;3;3;1;3;3;3;2;1;3;3;1;1;2;3;2;3;3;2;1;2;2;3;2;2;1;2;1;2;3;3;2;1;3;3;2;3;3;2;2;3;2;2;1;2;1;2;1;1;2;3;1;3;3;2;3;3;2;1;188
